dataset,method,seed,round,task1_metric,task2_metric
cwru,fedavg,11,1,0.328998699609883,0.18075422626788037
cwru,fedavg,11,2,0.34460338101430427,0.1859557867360208
cwru,fedavg,11,3,0.35240572171651496,0.19115734720416125
cwru,fedavg,11,4,0.35240572171651496,0.19245773732119636
cwru,fedavg,11,5,0.35370611183355005,0.18985695708712613
cwru,fedavg,11,6,0.3576072821846554,0.1846553966189857
cwru,fedavg,11,7,0.3680104031209363,0.18335500650195058
cwru,fedavg,11,8,0.37451235370611186,0.18985695708712613
cwru,fedavg,11,9,0.4174252275682705,0.235370611183355
cwru,fedavg,11,10,0.5981794538361509,0.38881664499349805
cwru,fedavg,11,11,0.6970091027308193,0.46553966189856955
cwru,fedavg,11,12,0.716514954486346,0.4837451235370611
cwru,fedavg,11,13,0.7256176853055917,0.48764629388816644
cwru,fedavg,11,14,0.7334200260078023,0.48764629388816644
cwru,fedavg,11,15,0.7399219765929779,0.48764629388816644
cwru,fedavg,11,16,0.7425227568270482,0.4889466840052016
cwru,fedavg,11,17,0.7425227568270482,0.5006501950585176
cwru,fedavg,11,18,0.7490247074122237,0.5019505851755527
cwru,fedavg,11,19,0.7516254876462939,0.5045513654096229
cwru,fedavg,11,20,0.7594278283485045,0.5071521456436932
cwru,fedavg,11,21,0.7672301690507152,0.5149544863459038
cwru,fedavg,11,22,0.7724317295188556,0.517555266579974
cwru,fedavg,11,23,0.7789336801040312,0.5201560468140443
cwru,fedavg,11,24,0.7854356306892067,0.5279583875162549
cwru,fedavg,11,25,0.7919375812743823,0.5279583875162549
cwru,fedavg,11,26,0.7932379713914174,0.5344603381014305
cwru,fedavg,11,27,0.7958387516254877,0.5435630689206762
cwru,fedavg,11,28,0.7997399219765929,0.5500650195058517
cwru,fedavg,11,29,0.8010403120936281,0.552665799739922
cwru,fedavg,11,30,0.8023407022106632,0.5565669700910273
cwru,fedavg,11,31,0.8010403120936281,0.5552665799739922
cwru,fedavg,11,32,0.8023407022106632,0.5565669700910273
cwru,fedavg,11,33,0.8075422626788037,0.5591677503250976
cwru,fedavg,11,34,0.8101430429128739,0.5617685305591678
cwru,fedavg,11,35,0.812743823146944,0.5656697009102731
cwru,fedavg,11,36,0.8140442132639792,0.5695708712613784
cwru,fedavg,11,37,0.8166449934980494,0.577373211963589
cwru,fedavg,11,38,0.8166449934980494,0.577373211963589
cwru,fedavg,11,39,0.8192457737321196,0.5825747724317295
cwru,fedavg,11,40,0.8192457737321196,0.5890767230169051
cwru,fedavg,11,41,0.8205461638491548,0.5942782834850455
cwru,fedavg,11,42,0.823146944083225,0.6033810143042913
cwru,fedavg,11,43,0.823146944083225,0.6059817945383615
cwru,fedavg,11,44,0.8296488946684005,0.6072821846553966
cwru,fedavg,11,45,0.8322496749024707,0.6293888166449935
cwru,fedavg,11,46,0.8322496749024707,0.6410923276983095
cwru,fedavg,11,47,0.8322496749024707,0.6527958387516255
cwru,fedavg,11,48,0.8335500650195059,0.6566970091027308
cwru,fedavg,11,49,0.834850455136541,0.6618985695708712
cwru,fedavg,11,50,0.8335500650195059,0.6736020806241872
cwru,fedavg,11,51,0.8361508452535761,0.6749024707412223
cwru,fedavg,11,52,0.8361508452535761,0.6788036410923277
cwru,fedavg,11,53,0.8400520156046815,0.6853055916775033
cwru,fedavg,11,54,0.8387516254876463,0.6866059817945384
cwru,fedavg,11,55,0.8413524057217165,0.6918075422626788
cwru,fedavg,11,56,0.846553966189857,0.7009102730819246
cwru,fedavg,11,57,0.846553966189857,0.7022106631989596
cwru,fedavg,11,58,0.8478543563068921,0.7074122236671001
cwru,fedavg,11,59,0.8478543563068921,0.706111833550065
cwru,fedavg,11,60,0.8491547464239272,0.7074122236671001
cwru,fedavg,11,61,0.8491547464239272,0.7100130039011704
cwru,fedavg,11,62,0.8491547464239272,0.7139141742522757
cwru,fedavg,11,63,0.8491547464239272,0.716514954486346
cwru,fedavg,11,64,0.8504551365409623,0.716514954486346
cwru,fedavg,11,65,0.8504551365409623,0.7191157347204161
cwru,fedavg,11,66,0.8504551365409623,0.7217165149544863
cwru,fedavg,11,67,0.8504551365409623,0.7217165149544863
cwru,fedavg,11,68,0.8504551365409623,0.7217165149544863
cwru,fedavg,11,69,0.8504551365409623,0.7230169050715215
cwru,fedavg,11,70,0.8504551365409623,0.7282184655396619
cwru,fedavg,11,71,0.8504551365409623,0.7282184655396619
cwru,fedavg,11,72,0.8517555266579974,0.7334200260078023
cwru,fedavg,11,73,0.8517555266579974,0.7347204161248374
cwru,fedavg,11,74,0.8517555266579974,0.7386215864759428
cwru,fedavg,11,75,0.8517555266579974,0.7386215864759428
cwru,fedavg,11,76,0.8517555266579974,0.7386215864759428
cwru,fedavg,11,77,0.8517555266579974,0.7399219765929779
cwru,fedavg,11,78,0.8517555266579974,0.7399219765929779
cwru,fedavg,11,79,0.8517555266579974,0.741222366710013
cwru,fedavg,11,80,0.8517555266579974,0.741222366710013
cwru,fedavg,11,81,0.8517555266579974,0.7464239271781534
cwru,fedavg,11,82,0.8517555266579974,0.7490247074122237
cwru,fedavg,11,83,0.8517555266579974,0.7503250975292588
cwru,fedavg,11,84,0.8517555266579974,0.7542262678803641
cwru,fedavg,11,85,0.8517555266579974,0.7555266579973993
cwru,fedavg,11,86,0.8530559167750326,0.7568270481144344
