dataset,method,seed,task1_metric,task2_metric,payload_bytes,active_clients,frozen_clients,wall_seconds
cwru,fedavg,11,0.9193758127438232,0.918075422626788,28800000,24,0,3.5851102960004937
cwru,fedavg,22,0.9830949284785435,0.8907672301690507,28800000,24,0,3.7941633070004173
cwru,fedavg,33,0.8582574772431729,0.9115734720416124,28800000,24,0,3.584281438000289
cwru,fedavg,44,0.9310793237971391,0.918075422626788,28800000,24,0,3.7967384820003645
cwru,fedavg,55,0.988296488946684,0.8660598179453837,28800000,24,0,3.7978823789999296
cwru,fedprox,11,0.9193758127438232,0.918075422626788,28800000,24,0,4.262065472000359
cwru,fedprox,22,0.9830949284785435,0.8907672301690507,28800000,24,0,4.003574981999918
cwru,fedprox,33,0.8582574772431729,0.9115734720416124,28800000,24,0,3.979547979000017
cwru,fedprox,44,0.9310793237971391,0.918075422626788,28800000,24,0,3.6739285519997793
cwru,fedprox,55,0.988296488946684,0.8660598179453837,28800000,24,0,3.950564600000689
cwru,fmtl,11,0.9115734720416124,0.9206762028608583,28800000,24,0,3.6440371489998142
cwru,fmtl,22,0.9843953185955787,0.893368010403121,28800000,24,0,3.6565801249998913
cwru,fmtl,33,0.8595578673602081,0.9115734720416124,28800000,24,0,3.812375716999668
cwru,fmtl,44,0.929778933680104,0.918075422626788,28800000,24,0,3.645560426999509
cwru,fmtl,55,0.9869960988296489,0.8621586475942783,28800000,24,0,3.857388907999848
cwru,scaffold,11,0.8998699609882965,0.9206762028608583,28800000,24,0,4.019741650000469
cwru,scaffold,22,0.9752925877763329,0.88296488946684,28800000,24,0,4.160716283000511
cwru,scaffold,33,0.8556566970091027,0.9128738621586476,28800000,24,0,3.9498221269996066
cwru,scaffold,44,0.9141742522756827,0.9154746423927178,28800000,24,0,4.120501393000268
cwru,scaffold,55,0.9817945383615084,0.88296488946684,28800000,24,0,3.975956478000626
cwru,topksgd,11,0.9193758127438232,0.918075422626788,13032000,24,0,4.428595891000441
cwru,topksgd,22,0.9830949284785435,0.8907672301690507,13032000,24,0,4.9117112519998045
cwru,topksgd,33,0.8582574772431729,0.9115734720416124,13032000,24,0,5.638707375999729
cwru,topksgd,44,0.9310793237971391,0.918075422626788,13032000,24,0,4.630213890999585
cwru,topksgd,55,0.9869960988296489,0.8647594278283485,13032000,24,0,4.914773796999725
intel_sensor,fedavg,11,0.2351687252521515,0.02987176924943924,7430400,24,0,21.892154723000203
intel_sensor,fedavg,22,0.26568150520324707,0.03780844807624817,7430400,24,0,18.727839221999602
intel_sensor,fedavg,33,0.25452443957328796,0.03662877157330513,7430400,24,0,15.634635226000682
