family,run,dataset,method,variant,seed,rho,sigma,eta_f,task1,task2,payload_mb,residual_mb,wall_seconds,final_frozen,mean_frozen,mean_similarity,mean_retention,mean_budget_utilization,mean_stationarity,min_stationarity,residual_l2_final,jain_participation
main,cwru_fedavg_11,cwru,fedavg,full,11,0.3,0.6,0.0005,0.9193758127438232,0.918075422626788,28.8,0.36352,3.5851102960004937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9916323370080861
main,cwru_fedavg_22,cwru,fedavg,full,22,0.3,0.6,0.0005,0.9830949284785436,0.8907672301690507,28.8,0.36352,3.7941633070004173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9929786601530536
main,cwru_fedavg_33,cwru,fedavg,full,33,0.3,0.6,0.0005,0.8582574772431729,0.9115734720416124,28.8,0.36352,3.584281438000289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9922883271366356
main,cwru_fedavg_44,cwru,fedavg,full,44,0.3,0.6,0.0005,0.9310793237971392,0.918075422626788,28.8,0.36352,3.7967384820003645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9932556713672593
main,cwru_fedavg_55,cwru,fedavg,full,55,0.3,0.6,0.0005,0.988296488946684,0.8660598179453837,28.8,0.36352,3.7978823789999296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990871140878022
main,cwru_fedprox_11,cwru,fedprox,full,11,0.3,0.6,0.0005,0.9193758127438232,0.918075422626788,28.8,0.36352,4.262065472000359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9916323370080861
main,cwru_fedprox_22,cwru,fedprox,full,22,0.3,0.6,0.0005,0.9830949284785436,0.8907672301690507,28.8,0.36352,4.003574981999918,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9929786601530536
main,cwru_fedprox_33,cwru,fedprox,full,33,0.3,0.6,0.0005,0.8582574772431729,0.9115734720416124,28.8,0.36352,3.979547979000017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9922883271366356
main,cwru_fedprox_44,cwru,fedprox,full,44,0.3,0.6,0.0005,0.9310793237971392,0.918075422626788,28.8,0.36352,3.6739285519997793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9932556713672593
main,cwru_fedprox_55,cwru,fedprox,full,55,0.3,0.6,0.0005,0.988296488946684,0.8660598179453837,28.8,0.36352,3.950564600000689,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990871140878022
main,cwru_fmtl_11,cwru,fmtl,full,11,0.3,0.6,0.0005,0.9115734720416124,0.9206762028608584,28.8,0.36352,3.6440371489998142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9916323370080861
main,cwru_fmtl_22,cwru,fmtl,full,22,0.3,0.6,0.0005,0.9843953185955788,0.893368010403121,28.8,0.36352,3.6565801249998913,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9929786601530536
main,cwru_fmtl_33,cwru,fmtl,full,33,0.3,0.6,0.0005,0.8595578673602081,0.9115734720416124,28.8,0.36352,3.812375716999668,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9922883271366356
main,cwru_fmtl_44,cwru,fmtl,full,44,0.3,0.6,0.0005,0.929778933680104,0.918075422626788,28.8,0.36352,3.645560426999509,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9932556713672593
main,cwru_fmtl_55,cwru,fmtl,full,55,0.3,0.6,0.0005,0.9869960988296488,0.8621586475942783,28.8,0.36352,3.857388907999848,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990871140878022
main,cwru_scaffold_11,cwru,scaffold,full,11,0.3,0.6,0.0005,0.8998699609882965,0.9206762028608584,28.8,0.36352,4.019741650000469,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9916323370080861
main,cwru_scaffold_22,cwru,scaffold,full,22,0.3,0.6,0.0005,0.9752925877763328,0.88296488946684,28.8,0.36352,4.160716283000511,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9929786601530536
main,cwru_scaffold_33,cwru,scaffold,full,33,0.3,0.6,0.0005,0.8556566970091027,0.9128738621586476,28.8,0.36352,3.9498221269996066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9922883271366356
main,cwru_scaffold_44,cwru,scaffold,full,44,0.3,0.6,0.0005,0.9141742522756828,0.9154746423927178,28.8,0.36352,4.120501393000268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9932556713672593
main,cwru_scaffold_55,cwru,scaffold,full,55,0.3,0.6,0.0005,0.9817945383615084,0.88296488946684,28.8,0.36352,3.975956478000626,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990871140878022
main,cwru_topksgd_11,cwru,topksgd,full,11,0.3,0.6,0.0005,0.9193758127438232,0.918075422626788,13.032,0.36352,4.428595891000441,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9916323370080861
main,cwru_topksgd_22,cwru,topksgd,full,22,0.3,0.6,0.0005,0.9830949284785436,0.8907672301690507,13.032,0.36352,4.9117112519998045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9929786601530536
main,cwru_topksgd_33,cwru,topksgd,full,33,0.3,0.6,0.0005,0.8582574772431729,0.9115734720416124,13.032,0.36352,5.638707375999729,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9922883271366356
main,cwru_topksgd_44,cwru,topksgd,full,44,0.3,0.6,0.0005,0.9310793237971392,0.918075422626788,13.032,0.36352,4.630213890999585,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9932556713672593
main,cwru_topksgd_55,cwru,topksgd,full,55,0.3,0.6,0.0005,0.9869960988296488,0.8647594278283485,13.032,0.36352,4.914773796999725,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990871140878022
