dataset,variant,n,task1_mean,task1_sd,task1_ci95,task2_mean,task2_sd,task2_ci95,payload_mb_mean,payload_mb_sd,payload_mb_ci95,final_frozen_mean,final_frozen_sd,final_frozen_ci95,mean_retention_mean,mean_retention_sd,mean_retention_ci95,mean_budget_utilization_mean,mean_budget_utilization_sd,mean_budget_utilization_ci95,jain_participation_mean,jain_participation_sd,jain_participation_ci95,wall_seconds_mean,wall_seconds_sd,wall_seconds_ci95
cwru,full,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,17.803881765999996,10.737468755206512,13.332328385177712
cwru,no_ef,5,0.9521456436931078,0.047006899390257574,0.0583667746400693,0.9074122236671001,0.01101116417686168,0.013672166136720133,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5923660542222783,0.012916139310416042,0.01603750517752799,18.207251005199986,10.155104083946737,12.609227139048679
cwru,no_freeze,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,20.89973042600004,5.773609758584219,7.1688833769119515
cwru,no_scheduler,5,0.9357607282184656,0.05282689804950898,0.06559325744485595,0.9006501950585173,0.022980509453872252,0.02853407124925442,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.9922052273086113,0.0009767966225559942,0.0012128531997948088,7.2222885987999685,0.13638226829215855,0.16934095253174003
cwru,no_taskaware,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,25.52502046920001,7.631605241462425,9.475889476827037
intel_sensor,full,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,126.78919315620006,105.54821052189538,131.05541307986923
intel_sensor,no_ef,5,0.2160618811845779,0.02945347921958312,0.03657132476879906,0.03817356899380678,0.008970811871601272,0.011138734135626228,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7249374646297257,0.012601609120752307,0.015646964364674328,13.553109217199971,0.8460237387775795,1.0504772180658661
intel_sensor,no_freeze,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,12.536459318000016,0.44300846268756044,0.5500676590187393
intel_sensor,no_scheduler,5,0.2362544327974319,0.030501353564581692,0.037872432617625136,0.040680902823805744,0.008955552878721067,0.011119787593518029,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.9960917529701829,0.0005151491760992186,0.0006396421856667306,30.657898987200042,0.3504290387320453,0.43511512131873303
intel_sensor,no_taskaware,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,13.688912766400017,0.28293261316846535,0.35130723968899563
