dataset,sigma,n,task1_mean,task1_sd,task1_ci95,task2_mean,task2_sd,task2_ci95,payload_mb_mean,payload_mb_sd,payload_mb_ci95,final_frozen_mean,final_frozen_sd,final_frozen_ci95,mean_retention_mean,mean_retention_sd,mean_retention_ci95,mean_budget_utilization_mean,mean_budget_utilization_sd,mean_budget_utilization_ci95,jain_participation_mean,jain_participation_sd,jain_participation_ci95,wall_seconds_mean,wall_seconds_sd,wall_seconds_ci95
cwru,0.0,5,0.9646293888166451,0.02997110073526744,0.03721403676951995,0.9102730819245772,0.010280486541509686,0.012764910022610904,12.4066774,0.2117148760014281,0.2628787394151474,0.0,0.0,0.0,0.9515839018843405,0.016391246922781166,0.020352421189685607,0.9523809523809526,0.0,0.0,0.5931416955332672,0.016677473391043057,0.02070781829065941,19.124164085400025,6.916366421989368,8.58780318456958
cwru,0.3,5,0.9550065019505851,0.043670654952966556,0.054224280033077464,0.9097529258777632,0.009404257337718852,0.011676927766089076,13.0217444,0.008768960616857665,0.010888102699618834,0.0,0.0,0.0,0.9992059779077322,0.0006790556632788226,0.0008431589698696919,0.9523809523809526,0.0,0.0,0.595904987808026,0.014715825331921928,0.018272110518502416,8.868128035600012,3.666506376974498,4.552568967473753
cwru,0.6,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,15.169922895399917,7.19383728848038,8.932328770041874
cwru,0.9,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,15.331686788199978,10.81065190014807,13.423197261526973
cwru,1.0,5,0.9573472041612483,0.038787827496942394,0.04816144897149139,0.9100130039011702,0.009705127779997531,0.012050507762390156,13.032,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.5939808338622702,0.016667001732804474,0.020694816009623068,25.141485052799954,6.175612175838239,7.668035305607155
intel_sensor,0.0,5,0.21308596432209015,0.0299210951122131,0.03715194658766562,0.03691465072333808,0.0068299329667414,0.008480481874947822,3.086425,0.03437382943461495,0.042680746489358226,0.0,0.0,0.0,0.9424321338383838,0.010850324947795099,0.01347245785648931,0.9523809523809526,0.0,0.0,0.7254575974476645,0.01813072112069756,0.02251226367704276,140.66632103299997,117.67610392747804,146.11418169563404
intel_sensor,0.3,5,0.2105991959571838,0.03199749908570916,0.039730142647282925,0.03721163645386692,0.006176873935636002,0.007669601987322418,3.26871,0.0001500416608813538,0.00018630132854707506,0.0,0.0,0.0,0.9999715909090909,4.7361635379206974e-05,5.8807237546414974e-05,0.9523809523809526,0.0,0.0,0.7185365651111397,0.015594315412681326,0.019362900024560478,12.616233369800103,0.3393872834101327,0.4214049712585394
intel_sensor,0.6,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,12.736024613799964,0.20205265352696244,0.25088150562596806
intel_sensor,0.9,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,12.97492444899999,0.22722512608321718,0.2821372585448419
intel_sensor,1.0,5,0.21144288480281825,0.03079871998789039,0.03824166179972217,0.036849693581461854,0.006768016823429288,0.008403602828889549,3.2688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.7185194135707352,0.01568435697837946,0.01947470139502975,13.158238311399964,0.5685202890545223,0.7059111751673979
uci_har,0.0,5,0.8693586698337292,0.008200234797145961,0.010181936324433887,0.9995928062436376,0.0002839022825022455,0.0003525112431909127,207.756317,3.5962107260761957,4.46528538852303,0.0,0.0,0.0,0.9155925469554989,0.015855386391293472,0.019687062459679005,0.9523809523809526,0.0,0.0,0.688946378511581,0.024817730665031047,0.03081528268388661,137.3343598552001,82.0170166680494,101.83757683679498
uci_har,0.3,5,0.8705802511028164,0.011984097268955086,0.014880222129833583,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,225.05012200000002,1.0437809472717425,1.296025224238344,0.0,0.0,0.0,0.9918403158086893,0.0046020707284885505,0.005714225540751603,0.9523809523809526,0.0,0.0,0.6826843507692647,0.027308842523731728,0.03390840659433371,19.760064625000087,0.564970670772609,0.7015037419393801
uci_har,0.6,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6739276974818185,0.024104099818820397,0.029929192954139164,19.81372268019995,0.4417547899837332,0.5485110187568663
uci_har,0.9,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6739276974818185,0.024104099818820397,0.029929192954139164,20.25119988719998,0.496897622945583,0.616979889204559
uci_har,1.0,5,0.8699015948422124,0.011463566978487367,0.014233898408185267,0.9995249406175771,0.0001858576713624681,0.00023077277932076335,226.90079999999998,3.1776437161565096e-14,3.9455658014699586e-14,0.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809526,0.0,0.0,0.6739276974818185,0.024104099818820397,0.029929192954139164,19.68066996280013,0.4833488406222284,0.60015685397415
